system:index,EVI,FAPAR,FAPAR_3b,LAI,LAI_3b,NDMI,NDVI,NDVIrededge,.geo
20210326T100029_20210326T100557_T33UVR_0,0.29806849857771256,0.4502446159587482,0.48331457888301116,0.9477355953611417,0.990598963091812,0.18496243051280395,0.666283314544924,0.444928429214708,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210326T100029_20210326T100557_T33UWR_0,0.29933583007413417,0.44438591739684774,0.4818274021638527,0.9466968894218591,1.012207279116488,0.1863006307309305,0.6614689578814893,0.44294767160767345,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210331T100021_20210331T100404_T33UVR_0,0.2770038366348988,0.41511562526116674,0.46643934020714145,0.8775012033567196,1.004149805074666,0.10293421304964559,0.6544750027072712,0.42360755872852307,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210331T100021_20210331T100404_T33UWR_0,0.2782236166744701,0.4126140879785343,0.47030247922711227,0.8860510344894102,1.0433729414315869,0.1019829317111607,0.6557752304623118,0.4229902300526014,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210428T100549_20210428T100550_T33UVR_0,0.2760879755218655,0.40920678766122964,0.4193336031579291,1.0944262573386727,1.1465704049061782,0.16021552530593658,0.6299844937446937,0.4241498366965319,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210428T100549_20210428T100550_T33UWR_0,0.2768716610397515,0.40925405673525456,0.4159434627817337,1.0923078519677127,1.1323816645019202,0.16082728994873102,0.6349934851917035,0.4284389823824969,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210510T100031_20210510T100406_T33UVR_0,0.2645361759025197,0.36672479659355434,0.4045017717381487,1.022586090774336,1.089882584416257,0.10336980403620626,0.6273548822519321,0.4054410335463614,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210510T100031_20210510T100406_T33UWR_0,0.2648780406689235,0.36353586493237433,0.40604029141125747,1.0286933086804728,1.1131634889650206,0.1024245432913396,0.6259696485897387,0.40372535973974083,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210604T100029_20210604T100027_T33UVR_0,0.32123784858449167,0.4308406829538383,0.4498496192647195,1.306894939874021,1.2837118332135364,0.1858553108928039,0.6640534186916212,0.41993178473804615,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
20210604T100029_20210604T100027_T33UWR_0,0.32588529830554763,0.4270900104163025,0.44218217886978545,1.307468929844357,1.2557641530285584,0.18974453790217385,0.6500521260312946,0.41366337253112595,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[15.111638382964514,49.82384360420299],[15.11219267012521,49.82384360420299],[15.11219267012521,49.8242034896775],[15.111638382964514,49.8242034896775],[15.111638382964514,49.82384360420299]]]}"
