system:index,EVI,FAPAR,FAPAR_3b,LAI,LAI_3b,NDMI,NDVI,NDVIrededge,.geo
20210306T100029_20210306T100025_T33UVR_0,0.3651066087181024,0.6295059773523749,0.6568981207315115,1.3678743234464932,1.3874040273649668,0.4163975150619322,0.8191538287383251,0.5610373842352191,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.457116700079899,50.44787214854077],[14.457678264097344,50.44787214854077],[14.457678264097344,50.44823203401529],[14.457116700079899,50.44823203401529],[14.457116700079899,50.44787214854077]]]}"
20210326T100029_20210326T100557_T33UVR_0,0.3634073893002668,0.5503376030424684,0.5407121713528471,1.328000591691702,1.116885391050468,0.3182796559618353,0.7066270308053575,0.47920629036352935,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.457116700079899,50.44787214854077],[14.457678264097344,50.44787214854077],[14.457678264097344,50.44823203401529],[14.457116700079899,50.44823203401529],[14.457116700079899,50.44787214854077]]]}"
20210331T100021_20210331T100404_T33UVR_0,0.34737668415912754,0.5470517544632844,0.5573370824528054,1.374422240252105,1.259199526435017,0.30518328857252547,0.7461943977188636,0.5022566110269765,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.457116700079899,50.44787214854077],[14.457678264097344,50.44787214854077],[14.457678264097344,50.44823203401529],[14.457116700079899,50.44823203401529],[14.457116700079899,50.44787214854077]]]}"
20210428T100549_20210428T100550_T33UVR_0,0.3264663899947427,0.5062579785021477,0.518221303427069,1.4753946582572948,1.4942529901190762,0.3030445724248823,0.7481460069767727,0.5280457168738885,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.457116700079899,50.44787214854077],[14.457678264097344,50.44787214854077],[14.457678264097344,50.44823203401529],[14.457116700079899,50.44823203401529],[14.457116700079899,50.44787214854077]]]}"
20210510T100031_20210510T100406_T33UVR_0,0.36217176903797277,0.5205343310561806,0.5317719444530121,1.5945354631011108,1.5017151472129469,0.27390326307092,0.7519503313855518,0.5030944561182478,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.457116700079899,50.44787214854077],[14.457678264097344,50.44787214854077],[14.457678264097344,50.44823203401529],[14.457116700079899,50.44823203401529],[14.457116700079899,50.44787214854077]]]}"
20210604T100029_20210604T100027_T33UVR_0,0.3874098143895728,0.5436250094574213,0.5161641903406718,1.7440369083796279,1.504116520403738,0.2825374501665632,0.7247781456204442,0.5066397438963612,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.457116700079899,50.44787214854077],[14.457678264097344,50.44787214854077],[14.457678264097344,50.44823203401529],[14.457116700079899,50.44823203401529],[14.457116700079899,50.44787214854077]]]}"
20210607T100559_20210607T101225_T33UVR_0,0.4695241615925191,0.5891835894168455,0.518396457453424,1.8133315836378685,1.4991631253809226,0.32501736411234994,0.6706037534068977,0.4983902136333987,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.457116700079899,50.44787214854077],[14.457678264097344,50.44787214854077],[14.457678264097344,50.44823203401529],[14.457116700079899,50.44823203401529],[14.457116700079899,50.44787214854077]]]}"
20210617T100559_20210617T101301_T33UVR_0,0.37903763328017426,0.5848799917842591,0.5685995516843451,1.9449554182225977,1.8652240191964298,0.3439071620258391,0.7891784542794777,0.5783230094255335,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.457116700079899,50.44787214854077],[14.457678264097344,50.44787214854077],[14.457678264097344,50.44823203401529],[14.457116700079899,50.44823203401529],[14.457116700079899,50.44787214854077]]]}"
20210619T100031_20210619T100523_T33UVR_0,0.4092823739248657,0.5927011346321116,0.5709067756513667,1.9792171208976164,1.762448489771428,0.3301410690341013,0.7682562312775174,0.526984687384496,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.457116700079899,50.44787214854077],[14.457678264097344,50.44787214854077],[14.457678264097344,50.44823203401529],[14.457116700079899,50.44823203401529],[14.457116700079899,50.44787214854077]]]}"
20210724T100029_20210724T100028_T33UVR_0,0.4598371369878316,0.6310440067039139,0.565060638012303,2.064523745376601,1.610908007198202,0.3985217392950436,0.7161987074498377,0.5309539468864296,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[14.457116700079899,50.44787214854077],[14.457678264097344,50.44787214854077],[14.457678264097344,50.44823203401529],[14.457116700079899,50.44823203401529],[14.457116700079899,50.44787214854077]]]}"
